"","NC","ID","sec"
"1",198900101,146,8
"2",198900103,104,12
"3",198900201,75,10
"4",198900301,2,14
"5",198900302,15,15
"6",198900303,93,8
"7",198900304,102,11
"8",198900601,35,12
"9",198900602,146,14
"10",198900603,228,11
"11",198900605,309,12
"12",198900607,14,8
"13",198900902,76,13
"14",198900903,94,12
"15",198901201,86,12
"16",198901301,3,9
"17",198901302,4,15
"18",198901303,35,6
"19",198901305,259,10
"20",198901307,396,2
"21",198901308,146,9
"22",198901402,82,15
"23",198902001,21,8
"24",198902004,263,8
"25",198902101,2,15
"26",198902102,14,14
"27",198902103,15,8
"28",198902104,27,10
"29",198902105,50,12
"30",198902106,62,15
"31",198902107,76,15
"32",198902108,83,10
"33",198902109,92,11
"34",198902110,117,12
"35",198902111,147,8
"36",198902112,240,8
"37",198902401,2,12
"38",198902402,8,12
"39",198902403,15,8
"40",198902404,19,8
"41",198902405,50,15
"42",198902406,62,15
"43",198902407,84,10
"44",198902408,92,13
"45",198902409,143,9
"46",198902410,296,15
"47",198902411,452,11
"48",198902412,127,15
"49",198902501,426,14
"50",198902601,147,8
"51",198902602,27,9
"52",198902603,117,12
"53",198902604,1057,5
"54",198902701,18,12
"55",198902702,76,7
"56",198902801,18,8
"57",198902802,76,11
"58",198902804,85,11
"59",198902805,146,14
"60",198902806,147,11
"61",198902807,228,12
"62",198902808,309,15
"63",198902811,1057,12
"64",198902813,13,15
"65",198903001,3,11
"66",198903101,53,8
"67",198903202,38,9
"68",198903503,115,11
"69",198903601,30,14
"70",198903701,1,12
"71",198903702,2,8
"72",198903703,50,15
"73",198903704,86,12
"74",198903705,87,10
"75",198903706,92,12
"76",198903707,152,12
"77",198903712,15,12
"78",198903801,1,12
"79",198903802,2,8
"80",198903803,24,8
"81",198903804,48,8
"82",198903805,70,2
"83",198903806,72,12
"84",198903807,82,11
"85",198903808,86,11
"86",198903809,87,15
"87",198903810,107,15
"88",198903814,98,10
"89",198903901,12,8
"90",198903902,53,8
"91",198904001,126,15
"92",198904301,3,15
"93",198904601,78,9
"94",198904901,78,12
"95",198904902,88,12
"96",198904903,105,15
"97",198904904,384,12
"98",198905101,115,14
"99",198905102,40,12
"100",198905201,78,8
"101",198905301,65,15
"102",198905302,77,11
"103",198905303,78,11
"104",198905304,79,12
"105",198905305,168,11
"106",198905601,88,8
"107",198906101,91,12
"108",198906301,28,12
"109",198906302,76,12
"110",198906303,146,15
"111",198906401,4,12
"112",198906402,8,13
"113",198906403,15,9
"114",198906404,50,12
"115",198906405,76,12
"116",198906406,84,12
"117",198906407,205,12
"118",198906411,183,12
"119",198906415,35,12
"120",198906501,15,12
"121",198906502,50,15
"122",198906503,62,8
"123",198906504,76,15
"124",198906505,84,8
"125",198906506,92,12
"126",198906507,93,5
"127",198906508,94,15
"128",198906509,95,11
"129",198906510,147,9
"130",198906511,205,15
"131",198906512,287,15
"132",198906513,453,11
"133",198906518,35,10
"134",198906601,125,8
"135",198906602,266,8
"136",198906801,38,12
"137",198906802,76,12
"138",198906803,128,15
"139",198906805,2,8
"140",198906901,38,9
"141",198906902,85,8
"142",198906904,1057,8
"143",198907001,96,15
"144",198907201,96,11
"145",198907206,4,11
"146",198907207,35,15
"147",198907301,35,9
"148",198907303,158,8
"149",198907306,4,15
"150",198907401,101,8
"151",198907402,13,12
"152",198907502,89,8
"153",198907503,90,12
"154",198907602,3,10
"155",198907901,8,8
"156",198907902,50,11
"157",198907903,62,12
"158",198907904,76,12
"159",198907905,84,12
"160",198907906,92,11
"161",198907907,93,15
"162",198908301,17,8
"163",198908501,13,9
"164",198908502,348,13
"165",198908504,257,15
"166",198908703,224,10
"167",198908804,86,8
"168",198908805,82,11
"169",198908806,152,12
"170",198908807,98,11
"171",198908902,86,15
"172",198908903,98,12
"173",198908904,128,7
"174",198908905,155,12
"175",198908910,341,12
"176",198908911,14,9
"177",198908912,193,12
"178",198908917,984,11
"179",198908918,56,12
"180",198909301,105,12
"181",198909302,296,2
"182",198909601,12,8
"183",198909602,139,10
"184",198909603,152,15
"185",198909801,99,8
"186",198909803,163,8
"187",198909901,9,12
"188",198910001,99,12
"189",198910005,40,8
"190",198910102,163,8
"191",198910201,99,12
"192",198910203,163,14
"193",199000101,91,8
"194",199000201,147,15
"195",199000202,189,7
"196",199000203,245,12
"197",199000204,258,12
"198",199000301,76,12
"199",199000302,79,15
"200",199000303,146,12
"201",199000304,198,8
"202",199000306,228,8
"203",199000309,35,14
"204",199000401,35,8
"205",199000402,146,12
"206",199000601,3,10
"207",199000602,19,15
"208",199000603,45,8
"209",199000605,133,12
"210",199000606,143,10
"211",199000701,464,15
"212",199000702,3,13
"213",199000901,76,11
"214",199000902,94,12
"215",199000903,102,15
"216",199000904,103,8
"217",199000905,112,8
"218",199000906,113,11
"219",199000907,147,12
"220",199000908,156,12
"221",199000910,228,10
"222",199001001,66,12
"223",199001003,432,11
"224",199001008,21,12
"225",199001401,6,12
"226",199001501,115,15
"227",199001504,9,8
"228",199001601,16,14
"229",199001602,146,13
"230",199001603,190,11
"231",199001605,76,8
"232",199001701,190,8
"233",199001901,121,15
"234",199002001,131,15
"235",199002002,145,8
"236",199002003,161,12
"237",199002005,257,12
"238",199002010,13,12
"239",199002101,131,15
"240",199002102,134,12
"241",199002301,17,11
"242",199002302,18,12
"243",199002305,1,12
"244",199002701,163,11
"245",199002703,195,12
"246",199002901,298,12
"247",199002905,1,8
"248",199002906,90,12
"249",199003101,296,11
"250",199003103,1,8
"251",199003201,6,12
"252",199003202,109,12
"253",199003401,94,9
"254",199003402,102,10
"255",199003403,113,8
"256",199003404,147,8
"257",199003405,60,8
"258",199003406,153,3
"259",199003407,219,15
"260",199003411,746,12
"261",199003414,151,8
"262",199003701,1,12
"263",199003702,12,8
"264",199003703,24,12
"265",199003704,31,12
"266",199003705,57,8
"267",199003706,70,5
"268",199003707,82,12
"269",199003708,87,12
"270",199003709,98,15
"271",199003710,102,11
"272",199003711,103,10
"273",199003712,107,8
"274",199003713,113,12
"275",199003714,114,15
"276",199003715,180,10
"277",199003716,350,12
"278",199003722,194,15
"279",199003728,94,12
"280",199003801,195,11
"281",199003902,28,11
"282",199003903,76,8
"283",199004201,23,12
"284",199004202,57,8
"285",199004203,103,8
"286",199004204,204,8
"287",199004205,375,12
"288",199004401,1,11
"289",199004402,19,12
"290",199004403,24,12
"291",199004404,45,8
"292",199004406,73,12
"293",199004407,82,12
"294",199004408,87,12
"295",199004409,99,7
"296",199004410,107,12
"297",199004411,111,12
"298",199004412,114,8
"299",199004413,124,12
"300",199004414,127,12
"301",199004415,132,15
"302",199004416,133,11
"303",199004417,143,15
"304",199004418,145,9
"305",199004419,148,8
"306",199004420,152,15
"307",199004421,219,11
"308",199004422,243,12
"309",199004423,258,8
"310",199004424,282,15
"311",199004425,350,11
"312",199004426,127,12
"313",199004437,628,12
"314",199004454,48,12
"315",199004455,70,15
"316",199004501,13,15
"317",199004502,40,11
"318",199004503,45,11
"319",199004504,57,12
"320",199004505,64,8
"321",199004506,103,8
"322",199004507,107,14
"323",199004508,114,15
"324",199004509,119,12
"325",199004510,180,12
"326",199004511,219,12
"327",199004512,258,11
"328",199004513,260,11
"329",199004514,296,8
"330",199004515,301,12
"331",199004516,455,8
"332",199004517,391,8
"333",199004518,548,11
"334",199004528,1,15
"335",199004529,24,11
"336",199004530,70,11
"337",199004531,87,10
"338",199004701,115,12
"339",199004702,116,10
"340",199005101,40,15
"341",199005201,42,12
"342",199005501,122,8
"343",199005502,161,12
"344",199005508,1,15
"345",199006101,6,12
"346",199006501,18,13
"347",199006502,85,8
"348",199006503,154,12
"349",199006504,187,9
"350",199006505,33,12
"351",199006506,309,8
"352",199006511,741,8
"353",199006601,76,10
"354",199006602,94,8
"355",199006603,105,12
"356",199006604,113,10
"357",199006605,114,12
"358",199006608,28,10
"359",199006701,4,12
"360",199006901,115,15
"361",199006902,116,15
"362",199006903,209,9
"363",199006904,42,9
"364",199007002,104,8
"365",199007004,1,15
"366",199007005,90,8
"367",199007801,2,12
"368",199007802,48,12
"369",199007803,82,8
"370",199007804,86,12
"371",199007805,152,12
"372",199008001,140,11
"373",199008004,152,8
"374",199008005,1,3
"375",199008006,40,12
"376",199008201,147,14
"377",199008401,6,11
"378",199008701,64,9
"379",199008702,178,11
"380",199008703,229,15
"381",199009201,4,15
"382",199009202,105,10
"383",199009501,13,12
"384",199009502,87,15
"385",199010501,4,11
"386",199010502,27,12
"387",199010503,28,10
"388",199010504,35,8
"389",199010505,76,9
"390",199010506,112,10
"391",199010507,114,8
"392",199010508,117,15
"393",199010509,146,8
"394",199010510,169,10
"395",199010516,6,14
"396",199011002,1,12
"397",199011301,42,11
"398",199011302,168,12
"399",199011303,235,12
"400",199011401,36,9
"401",199011402,120,11
"402",199011403,209,11
